seg,lon,lat
260102,-114.07433,52.143806
260103,-113.646599,52.142938
260104,-113.215842,52.142923
260105,-112.786723,52.142823
260106,-112.358373,52.142692
260107,-111.931228,52.14281
260108,-111.504999,52.142984
260109,-111.075434,52.142884
260110,-110.646653,52.142952
260111,-110.216643,52.143196
260301,-110.21846,52.492265
260302,-110.652804,52.492219
260303,-111.084533,52.492219
260304,-111.516299,52.492219
260305,-111.948189,52.492235
260306,-112.38208,52.492235
260307,-112.813335,52.492219
260308,-113.243334,52.492219
260309,-113.676664,52.492219
260501,-113.70454,52.843429
260502,-113.268554,52.843429
260503,-112.833189,52.843439
260504,-112.398658,52.8434
260505,-111.963179,52.8434
260506,-111.52768,52.843429
260507,-111.082248,52.872999
260508,-110.632208,52.843429
260509,-110.219709,52.843429
260701,-110.221664,53.190671
260702,-110.663023,53.190639
260703,-111.102193,53.19057
260704,-111.540988,53.19053
260705,-111.978669,53.191431
260706,-112.416499,53.192432
260707,-112.855149,53.192405
260708,-113.294664,53.192409
260904,-112.875,53.541501
260905,-112.433454,53.54136
260906,-111.992444,53.541305
260909,-110.649125,53.540722
260910,-110.211054,53.540805
261106,-112.456404,53.889791
261107,-112.90221,53.890415
261108,-113.347515,53.890829
261109,-113.797804,53.890415
270101,-110.213429,51.270599
270102,-110.638343,51.270555
270103,-111.060414,51.270542
270104,-111.481889,51.270612
270105,-111.903709,51.270626
270106,-112.315594,51.27058
270107,-112.725834,51.270545
270108,-113.157739,51.270006
270109,-113.59132,51.270067
270110,-113.99812,51.271097
270301,-114.440433,51.562195
270302,-114.016035,51.561791
270303,-113.59134,51.561435
270304,-113.169409,51.561546
270305,-112.747389,51.561546
270306,-112.325499,51.56163
270307,-111.904833,51.56167
270308,-111.482809,51.561666
270309,-111.059569,51.561656
270310,-110.637774,51.561115
270311,-110.213484,51.561115
270501,-110.215024,51.852659
270502,-110.642689,51.852636
270503,-111.067909,51.852749
270504,-111.493369,51.852668
270505,-111.918709,51.85268
270506,-112.343645,51.852731
270507,-112.768644,51.852676
270508,-113.193849,51.85271
270509,-113.619085,51.852781
270510,-114.049774,51.853005
280201,-113.926174,50.397186
280202,-113.506678,50.397186
280203,-113.095668,50.397266
280204,-112.696419,50.39734
280205,-112.284085,50.397325
280206,-111.860309,50.397319
280207,-111.447894,50.39727
280208,-111.241619,50.240694
280209,-110.899998,50.215799
280210,-110.210999,50.397151
280401,-110.09486,50.688571
280402,-110.394735,50.7177
280403,-110.856209,50.717599
280404,-111.389424,50.688625
280405,-111.874209,50.68848
280406,-112.289849,50.688501
280407,-112.705469,50.688652
280408,-113.121724,50.688787
280409,-113.537249,50.688707
280410,-113.953865,50.688486
280602,-113.564623,50.979595
280603,-113.145938,50.979715
280604,-112.725849,50.979681
280605,-112.307254,50.979585
280606,-111.888774,50.979591
280607,-111.470234,50.979591
280608,-111.051494,50.979566
280609,-110.632743,50.979461
280610,-110.214259,50.979396
290101,-113.839864,49.261575
290102,-113.432034,49.261545
290103,-113.030049,49.261301
290104,-112.628438,49.261125
290105,-112.225069,49.261075
290106,-111.821714,49.261051
290107,-111.418304,49.26106
290108,-111.014844,49.261135
290109,-110.61139,49.26123
290110,-110.204834,49.26138
290201,-110.207385,49.523475
290202,-110.61131,49.523349
290203,-111.014749,49.52341
290204,-111.418293,49.523416
290205,-111.821639,49.523456
290206,-112.233029,49.524187
290207,-112.644779,49.524085
290208,-113.038434,49.523534
290209,-113.432099,49.523731
290210,-113.839964,49.523746
290301,-113.456534,49.785827
290302,-113.049674,49.785757
290303,-112.64468,49.78564
290304,-112.239794,49.785816
290305,-111.833329,49.785865
290306,-111.426924,49.785551
290307,-111.020534,49.7861
290308,-110.614254,49.786051
290309,-110.205579,49.786077
290401,-110.20718,50.047796
290402,-110.618854,50.047845
290403,-111.028103,50.047786
290404,-111.437458,50.047786
290405,-111.846924,50.047891
290406,-112.256605,50.047876
290407,-112.666164,50.047851
290408,-113.073743,50.048086
290409,-113.481484,50.04833
301712,-107.074809,52.231241
301713,-107.503334,52.231086
301714,-107.931505,52.230981
301715,-108.359724,52.230926
301716,-108.788404,52.230861
301717,-109.216934,52.230791
301718,-109.645399,52.230792
301810,-106.220025,52.580245
301811,-106.65188,52.580331
301812,-107.083829,52.58043
301813,-107.515539,52.58045
301814,-107.945994,52.58031
301815,-108.521099,52.580315
301816,-108.809769,52.580375
301817,-109.24158,52.580545
301818,-109.672719,52.58039
301913,-107.539779,53.016645
301914,-107.981274,53.016311
301915,-108.418989,53.016294
301916,-108.856919,53.016407
301917,-109.296978,53.016294
301918,-109.735869,53.016239
302018,-109.765644,53.453371
311601,-102.384729,51.706956
311602,-102.809914,51.70689
311603,-103.234993,51.706846
311604,-103.659893,51.706911
311605,-104.084733,51.707025
311606,-104.509684,51.706892
311607,-104.934305,51.706911
311608,-105.357964,51.707025
311704,-103.648689,52.143939
311705,-104.077414,52.143911
311706,-104.506204,52.143795
311707,-104.933664,52.143775
311708,-105.314819,52.143778
311807,-104.932309,52.580141
320103,-103.373929,49.202594
320104,-103.777309,49.202514
320105,-104.180218,49.202594
320106,-104.583774,49.20259
320107,-104.987114,49.202556
320108,-105.502394,49.202605
320109,-105.797034,49.203022
320110,-106.205834,49.203826
320111,-106.612559,49.203926
320112,-107.015004,49.203599
320113,-107.417669,49.203584
320204,-103.777403,49.406132
320205,-104.180793,49.406141
320206,-104.584073,49.406272
320207,-104.987454,49.406225
320208,-105.390939,49.4064
320209,-105.797004,49.406894
320210,-106.205994,49.40739
320211,-106.612129,49.407575
320212,-107.015483,49.407594
320213,-107.418909,49.407526
320305,-104.174405,49.610155
320306,-104.580994,49.610105
320307,-104.987409,49.610101
320308,-105.39385,49.610305
320309,-105.80068,49.610765
320310,-106.207409,49.611042
320311,-106.613924,49.611026
320312,-107.020315,49.610624
320313,-107.426839,49.610956
320406,-104.580869,49.814006
320407,-104.987404,49.813877
320408,-105.393904,49.813946
320409,-105.800654,49.81463
320410,-106.207194,49.815101
320411,-106.613409,49.814956
320412,-107.020079,49.814802
320413,-107.427069,49.814691
320507,-104.986484,50.017965
320508,-105.395839,50.017951
320509,-105.80272,50.018316
320510,-106.209754,50.018686
320511,-106.619144,50.018621
320512,-107.028404,50.018671
320513,-107.437944,50.018756
320607,-104.961519,50.221876
320608,-105.374104,50.221851
320609,-105.792614,50.222105
320610,-106.210994,50.22241
320611,-106.442974,50.222424
320612,-107.035804,50.222541
320613,-107.448329,50.222581
320707,-104.961644,50.426
320708,-105.374169,50.426046
320709,-105.791479,50.426027
320710,-106.209753,50.426176
320711,-106.623214,50.42642
320712,-107.034454,50.42646
320713,-107.447018,50.426429
320714,-107.860894,50.426305
320715,-108.273484,50.426385
320807,-104.97457,50.629976
320808,-105.389884,50.629989
320809,-105.795324,50.630018
320810,-106.210014,50.630285
320811,-106.623799,50.63031
320812,-107.041679,50.630371
320813,-107.45897,50.630451
320814,-107.874324,50.6303
320815,-108.289684,50.630214
320908,-105.376424,50.833761
320909,-105.792349,50.833854
320910,-106.211279,50.833984
320911,-106.627939,50.834211
320912,-107.043594,50.834211
320913,-107.457699,50.834066
320914,-107.873145,50.834091
320915,-108.290095,50.83414
321009,-105.797074,51.037535
321010,-106.213759,51.03798
321011,-106.632638,51.037885
321012,-107.050953,51.037925
321013,-107.469473,51.037885
321014,-107.888049,51.03787
321015,-108.306394,51.037889
321016,-108.725049,51.037919
321017,-109.143625,51.037978
321018,-109.562284,51.037993
321109,-105.79679,51.241546
321110,-106.213799,51.241724
321111,-106.632029,51.241897
321112,-107.050435,51.24174
321113,-107.469379,51.241819
321114,-107.887953,51.241739
321115,-108.306399,51.241765
321116,-108.724965,51.241891
321117,-109.14354,51.241846
321118,-109.562165,51.241809
321209,-105.786825,51.445449
321210,-106.215054,51.44556
321211,-106.636453,51.445631
321212,-107.058189,51.445535
321213,-107.480154,51.445627
321214,-107.902239,51.445631
321215,-108.324229,51.44561
321216,-108.746218,51.445585
321217,-109.168204,51.445671
321218,-109.590105,51.445735
321309,-105.786719,51.649045
321310,-106.381654,51.648928
321311,-106.64128,51.648841
321312,-107.066784,51.648817
321313,-107.492379,51.648721
321314,-107.917544,51.648635
321315,-108.343019,51.648595
321316,-108.768439,51.64855
321317,-109.193679,51.648614
321318,-109.61921,51.648705
321319,-109.916435,51.64878
321410,-106.216799,51.83822
321411,-106.639014,51.838161
321412,-107.064059,51.838075
321413,-107.492224,51.83802
321414,-107.917574,51.83797
321415,-108.342954,51.837961
321416,-108.768314,51.837961
321417,-109.193674,51.83797
321418,-109.619554,51.837949
332114,-108.225569,49.261911
332115,-108.629189,49.261907
332116,-109.032634,49.261732
332117,-109.436309,49.26164
332214,-108.240489,49.523658
332215,-108.647139,49.5238
332216,-109.052555,49.523689
332217,-109.459169,49.52371
332314,-108.240778,49.785698
332315,-108.647274,49.785596
332316,-109.054314,49.785531
332317,-109.460994,49.785575
332414,-108.257294,50.047506
332415,-108.666869,50.04763
332416,-109.076419,50.047716
332417,-109.486104,50.04776
332516,-109.097768,50.310005
332517,-109.325768,50.309933
332616,-109.120439,50.571935
332617,-109.535584,50.57187
340101,-101.76612,50.298028
340102,-102.19002,50.295742
340103,-102.624798,50.294729
340104,-103.037058,50.294799
340105,-103.449652,50.294934
340106,-103.862144,50.295
340107,-104.274529,50.295
340201,-101.785384,50.533004
340202,-102.211444,50.528995
340203,-102.624784,50.527847
340204,-103.037254,50.527915
340205,-103.450299,50.527793
340206,-103.862514,50.527749
340207,-104.274629,50.527936
340301,-101.792609,50.725234
340302,-102.215543,50.723245
340303,-102.633585,50.724486
340304,-103.051836,50.724479
340305,-103.469288,50.724275
340306,-103.880424,50.720731
340307,-104.29228,50.717343
340401,-101.792738,50.916711
340402,-102.215313,50.914566
340403,-102.633539,50.9153
340404,-103.051744,50.916036
340405,-103.469901,50.916043
340406,-103.889195,50.920919
340407,-104.309676,50.920976
340408,-104.728326,50.921131
340409,-105.147524,50.921047
340501,-101.796099,51.241367
340502,-102.216799,51.239604
340503,-102.638339,51.239645
340504,-103.059644,51.239701
340505,-103.480217,51.239942
340506,-103.895443,51.241185
340507,-104.310214,51.241176
340508,-104.728677,51.241149
340509,-105.147337,51.241227
350101,-101.796039,49.043556
350102,-102.207653,49.043252
350103,-102.610664,49.043411
350201,-101.801368,49.250392
350202,-102.208253,49.246366
350203,-102.611783,49.246215
350301,-101.802445,49.471606
350302,-102.208265,49.464591
350303,-102.612019,49.464641
350304,-103.015264,49.464601
350401,-101.803172,49.665501
350402,-102.209522,49.668142
350403,-102.616219,49.668151
350404,-103.022799,49.668201
350405,-103.428999,49.668251
350501,-101.757979,49.88547
350502,-102.210635,49.872186
350503,-102.620414,49.872119
350504,-103.029708,49.87202
350505,-103.438613,49.872041
350506,-103.821614,49.872035
350601,-101.795649,50.077506
350602,-102.210861,50.076318
350603,-102.620712,50.07631
350604,-103.030499,50.076501
350605,-103.440064,50.076551
350606,-103.849243,50.076355
350607,-104.258369,50.076289
370101,-99.273364,50.284372
370102,-98.800254,50.284605
370103,-98.388579,50.284866
370104,-97.984099,50.285202
370105,-97.575924,50.285612
370106,-97.160224,50.28528
370203,-99.205864,50.697996
370204,-98.784239,50.69794
370205,-98.365129,50.698139
370206,-97.949454,50.697969
370302,-100.905961,51.1106
370303,-100.485055,51.110602
370304,-100.07603,51.110654
370305,-99.653982,51.110747
370306,-99.219803,51.11075
370403,-100.486759,51.522085
370404,-100.065869,51.52201
380101,-98.335128,49.044481
380102,-97.931122,49.044656
380103,-97.526759,49.044919
380201,-98.341201,49.458355
380202,-97.934074,49.458316
380203,-97.527204,49.458295
380301,-99.710032,49.871782
380302,-99.300462,49.871782
380303,-98.892655,49.872024
380304,-98.48316,49.694746
380305,-98.073564,49.694765
380306,-97.663953,49.694715
390101,-101.160109,49.044136
390102,-100.757209,49.043851
390103,-100.354444,49.043521
390104,-99.951699,49.043361
390105,-99.548564,49.043725
390106,-99.144229,49.044179
390107,-98.739459,49.044483
390301,-101.188869,49.251821
390302,-100.782469,49.251714
390303,-100.375679,49.252094
390304,-99.969505,49.252009
390305,-99.563339,49.251723
390306,-99.156049,49.251415
390307,-98.748554,49.251331
390501,-101.189015,49.458583
390502,-100.78254,49.458625
390503,-100.375795,49.458774
390504,-99.969109,49.45848
390505,-99.563009,49.45853
390506,-99.156489,49.45841
390507,-98.748924,49.458511
390701,-101.213105,49.665531
390702,-100.804029,49.6655
390703,-100.394589,49.665281
390901,-101.213069,49.87194
390902,-100.803443,49.872027
390903,-100.394073,49.871857
400201,-101.240855,50.078466
400202,-100.827855,50.07843
400203,-100.415624,50.078371
400204,-100.003795,50.078372
400401,-101.269044,50.284759
400402,-100.853665,50.284793
400403,-100.43836,50.284821
400404,-100.023104,50.284677
400601,-101.269209,50.491035
400602,-100.853899,50.491165
400603,-100.438465,50.49118
400801,-101.299354,50.697655
400802,-100.88068,50.697759
410517,-111.606598,47.5
410608,-106.941664,47.750001
410609,-107.324999,47.750001
410610,-107.708334,47.750001
410611,-108.091664,47.750001
410617,-111.05,47.750001
410618,-111.433334,47.750001
410619,-111.816669,47.750001
410707,-106.5583,48.000001
410708,-106.949999,48.000001
410709,-107.341664,48.000001
410710,-107.733328,48.000001
410711,-108.124999,48.000001
410712,-110.124999,48.000001
410713,-110.516669,48.000001
410714,-110.908334,48.000001
410715,-111.291665,48.000001
410716,-111.674999,48.000001
410717,-112.066669,48.000001
410801,-104.241663,48.250001
410802,-104.624999,48.250001
410803,-105.016669,48.250001
410804,-105.408334,48.250001
410805,-105.791665,48.250001
410806,-106.183329,48.250001
410807,-106.574999,48.250001
410808,-106.958334,48.250001
410809,-107.349999,48.250001
410810,-107.749999,48.250001
410811,-108.141664,48.250001
410812,-108.524999,48.250001
410813,-110.249999,48.250001
410814,-110.641664,48.250001
410815,-111.024999,48.250001
410816,-111.416668,48.250001
410817,-111.808334,48.250001
410901,-104.249999,48.500001
410902,-104.641664,48.500001
410903,-105.033329,48.500001
410904,-105.424999,48.500001
410905,-105.808334,48.500001
410906,-106.199999,48.500001
410907,-106.591664,48.500001
410908,-106.983328,48.500001
410909,-107.374999,48.500001
