"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
28,12,32,28,36,10,20,20,22,70,14,40,50,12,24,30,16,36,34,32
16,22,20,6,20,10,12,60,12,22,26,22,30,42,6,16,2,48,14,22
38,48,57,72,70,62,72,36,64,64,64,34,30,32,58,70,52,46,73,54
40,25,64,76,62,30,32,46,40,38,50,50,35,17,22,40,34,52,60,34
39,16,20,28,38,28,39,32,26,60,26,22,40,32,25,52,28,42,71,26
44,18,36,40,31,24,30,6,14,70,14,4,6,44,16,52,24,36,22,18
22,18,32,28,38,44,42,30,30,26,28,8,20,42,28,56,24,26,17,18
14,14,13,12,8,14,16,4,16,26,4,6,14,8,18,32,16,15,14,12
24,12,8,36,34,21,8,12,14,22,24,4,10,4,34,22,39,26,22,6
8,14,10,26,24,8,18,10,10,14,4,10,43,10,52,40,20,34,12,4
16,30,22,22,13,25,12,18,8,24,18,18,26,10,42,34,32,60,20,30
13,10,49,18,8,12,12,18,10,8,18,12,24,10,34,32,34,12,24,32
76,52,32,22,22,38,36,68,34,46,62,36,60,38,56,38,54,58,38,30
50,32,28,24,44,35,64,62,50,57,36,32,36,50,74,75,42,58,58,30
36,36,34,42,56,64,89,44,20,74,24,20,46,10,86,40,36,20,12,32
31,28,18,40,56,62,58,158,66,72,61,61,48,36,34,48,56,40,72,35
26,22,31,28,55,24,30,52,40,72,96,54,38,24,24,34,28,48,30,33
50,74,30,84,0,18,37,42,72,42,60,36,38,46,55,46,31,48,52,36
0,0,0,0,0,0,10,54,38,44,52,34,58,28,34,34,28,42,20,36
12,30,24,28,37,30,30,32,17,58,30,20,34,30,33,38,28,26,14,8
32,39,14,10,41,30,18,50,40,44,36,50,62,70,38,40,28,30,42,22
10,12,8,8,10,6,10,18,62,32,12,14,26,18,30,26,20,44,16,17
24,32,6,32,24,4,33,12,30,28,10,8,36,12,34,36,50,26,52,0
18,18,10,30,26,6,22,56,32,36,6,22,26,20,58,66,34,54,26,32
28,24,26,40,16,26,22,46,30,44,34,22,26,22,24,50,8,26,30,34
10,2,22,14,6,14,2,23,12,16,4,16,14,11,36,16,26,30,10,26
38,24,20,30,30,26,36,32,59,22,42,18,24,58,30,52,38,40,39,18
36,40,19,22,18,18,24,18,14,40,39,14,31,24,44,42,30,46,16,24
8,36,22,30,14,12,40,26,36,34,20,4,22,50,38,58,26,54,34,18
36,36,20,2,45,28,30,36,42,24,28,8,14,30,38,64,38,58,22,44
24,38,18,23,36,42,50,58,86,48,38,18,16,22,38,32,60,92,42,49
59,30,43,20,30,30,42,70,101,38,40,70,44,38,66,52,36,58,20,36
48,52,53,44,100,30,58,0,102,54,52,53,36,38,38,58,57,36,14,42
45,44,14,24,22,11,28,28,46,22,24,8,36,38,55,58,26,30,12,12
62,62,60,62,80,30,42,42,52,92,60,56,32,51,46,26,32,90,40,36
22,45,40,38,56,31,54,97,50,66,68,39,58,44,41,26,28,32,26,24
58,37,36,46,36,54,52,46,49,36,46,70,28,82,26,18,28,52,28,71
44,53,37,32,54,14,26,85,34,26,6,39,32,78,34,16,42,32,29,6
34,32,34,6,32,28,60,36,41,40,30,22,24,52,46,35,18,26,26,20
33,60,54,38,58,33,44,22,52,29,22,59,15,126,40,2,18,58,44,58
36,16,18,16,32,63,18,32,30,64,36,20,22,60,30,36,20,54,30,26
26,60,51,20,40,22,58,90,38,56,38,29,24,57,26,14,26,40,26,26
42,36,28,29,32,20,36,76,32,36,10,54,18,18,20,28,14,38,12,42
44,37,28,28,24,26,42,82,72,20,43,46,26,66,30,48,32,40,30,34
28,58,18,39,64,12,26,42,46,26,26,69,36,48,26,24,20,46,34,37
2,6,8,18,15,12,35,16,6,12,8,14,8,4,24,56,52,16,0,2
0,6,18,4,0,4,22,10,4,10,0,12,26,4,4,42,28,24,0,16
8,6,16,4,0,10,34,12,4,46,12,2,20,6,22,44,43,26,12,22
0,10,22,26,20,30,36,34,10,16,12,0,8,12,16,22,28,26,20,22
14,28,16,14,40,8,28,34,58,26,50,30,14,18,30,36,56,64,28,26
0,0,6,10,2,10,23,10,13,4,8,2,10,4,4,14,18,26,6,12
4,4,28,12,10,8,28,12,32,18,18,12,24,22,11,43,44,68,36,18
8,4,8,16,6,8,18,10,22,14,24,8,40,30,28,36,14,26,16,12
26,44,38,20,28,28,76,84,76,52,20,20,52,82,62,38,44,60,64,30
16,12,10,12,16,8,14,36,47,38,18,26,40,18,26,26,20,48,22,20
8,4,4,6,2,6,14,2,8,25,10,12,4,6,9,24,0,8,8,4
10,20,12,20,20,12,26,30,10,16,6,16,34,42,26,10,0,18,22,30
22,14,18,18,28,24,34,16,14,36,12,16,30,20,18,18,44,48,16,24
6,4,8,4,4,10,8,10,0,2,4,0,8,2,8,10,13,8,10,2
14,4,14,10,26,18,28,14,24,24,16,12,24,18,6,20,22,42,10,4
6,4,14,2,16,22,32,14,12,18,4,0,10,4,10,6,30,22,4,10
16,9,30,34,24,28,28,22,14,34,20,16,30,12,34,38,66,36,6,10
8,14,40,36,10,22,40,20,10,40,8,18,6,12,20,26,32,38,6,38
0,12,32,24,6,6,30,4,4,2,8,2,8,12,8,16,14,10,8,18
2,10,14,14,10,22,4,10,30,22,10,10,2,12,16,34,25,12,14,10
0,14,28,32,30,27,44,18,18,31,71,6,30,6,48,78,62,48,22,10
6,28,24,12,12,6,46,24,14,30,4,2,26,2,20,52,30,46,2,12
8,12,28,4,6,12,16,4,14,14,0,4,20,2,36,54,47,16,2,10
4,46,42,12,33,8,16,20,18,42,20,0,16,8,80,42,40,22,16,6
6,30,40,18,19,12,16,8,12,66,18,14,36,34,42,37,20,20,20,24
20,10,24,18,40,8,26,12,16,50,8,26,16,50,16,30,24,26,6,12
12,28,22,10,26,14,30,43,32,30,24,12,26,13,14,18,25,24,32,22
16,26,47,33,26,32,30,46,38,70,34,26,40,24,26,72,32,70,59,14
8,40,10,10,24,6,8,24,36,22,16,6,18,34,26,22,12,28,22,16
26,18,20,16,30,36,20,20,14,18,10,12,32,18,30,38,23,34,40,26
40,39,24,38,32,28,16,22,50,26,24,36,34,22,34,40,34,48,36,30
4,4,12,14,16,18,4,47,22,22,6,2,24,14,24,50,44,24,22,24
4,2,12,16,8,14,6,20,8,14,8,8,10,20,12,49,26,28,14,22
4,10,2,18,4,2,4,2,16,6,6,6,4,16,6,18,4,8,16,30
12,4,12,2,10,22,12,12,8,6,50,10,16,68,22,62,40,14,41,31
34,4,26,34,14,16,26,34,34,60,75,34,40,64,50,44,30,36,30,14
30,14,40,36,36,18,20,62,22,16,20,24,20,52,26,38,10,20,38,28
0,6,0,4,6,14,12,12,12,6,4,2,6,58,20,42,12,8,6,12
