"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
6,4,0,2,2,12,4,6,4,4,0,6,6,2,2,6,2,10,0,0
2,2,0,0,0,0,2,18,0,2,0,0,4,2,4,0,4,2,0,0
12,8,4,0,4,10,4,6,14,18,2,0,4,10,4,2,6,12,6,0
12,8,6,14,4,8,20,0,4,6,6,4,2,0,8,4,22,12,8,2
4,8,8,0,8,6,0,2,6,26,2,18,4,4,12,16,28,24,4,0
6,0,18,4,6,2,8,2,0,16,0,2,4,6,4,14,11,10,6,4
4,14,10,14,8,6,10,0,4,2,10,4,8,0,24,28,10,12,2,2
4,0,12,8,0,6,8,0,4,2,0,0,0,0,10,24,6,2,0,4
8,4,30,12,6,0,8,0,0,0,0,0,2,0,16,44,8,10,4,0
0,0,28,12,8,0,8,0,2,6,0,0,0,2,12,18,6,4,0,0
12,0,10,2,0,6,6,10,2,6,2,0,10,0,18,38,4,12,2,2
2,2,10,4,0,0,12,4,0,8,2,0,4,0,8,12,0,18,0,0
6,2,12,2,0,0,14,16,8,18,8,6,2,0,6,4,8,20,10,2
10,0,6,14,4,8,22,8,12,10,6,0,2,0,20,12,12,8,2,0
12,0,12,6,8,26,30,4,14,14,2,2,2,0,36,40,22,0,2,6
6,4,0,6,0,4,20,20,8,10,4,0,2,2,12,18,6,16,8,0
14,2,6,2,4,4,8,12,20,12,6,2,4,6,4,8,10,6,0,0
0,12,2,4,0,4,22,4,6,16,4,0,12,0,12,8,6,2,0,0
0,0,0,0,0,0,6,4,4,10,2,2,4,0,0,0,0,6,0,0
2,4,0,0,0,10,0,0,2,2,4,2,6,0,2,0,0,2,0,0
2,8,2,2,0,4,6,2,6,6,2,2,4,0,4,2,8,6,0,0
2,6,2,2,2,4,2,4,12,0,0,0,0,0,6,0,10,8,0,0
6,4,0,0,2,2,8,0,4,2,0,0,0,0,18,22,14,6,0,0
0,8,12,6,0,6,18,4,8,4,0,0,2,0,50,32,8,8,0,0
12,10,6,2,6,6,2,14,4,6,0,6,0,0,8,4,10,10,2,2
4,0,2,0,0,0,2,0,0,0,0,0,2,0,10,4,0,0,4,2
4,4,4,2,4,0,8,6,0,2,2,0,0,2,8,4,6,12,4,4
12,6,2,2,2,6,8,0,12,4,8,0,4,2,22,10,18,18,10,4
0,4,0,6,2,0,14,6,0,4,2,0,2,4,20,26,0,24,2,2
15,12,2,4,2,6,2,6,2,2,2,0,0,12,28,34,10,8,6,6
14,4,4,0,10,8,24,20,8,4,0,0,0,0,26,22,12,38,14,0
8,6,2,4,6,8,12,10,2,10,10,0,4,0,16,16,14,12,8,0
8,4,6,2,10,6,30,14,4,2,2,2,10,6,20,18,22,8,8,0
2,0,2,0,8,8,6,8,6,2,2,0,10,0,14,18,4,6,2,0
8,4,2,2,4,8,12,30,8,4,16,4,16,8,12,4,2,20,2,0
4,4,4,4,0,12,6,14,6,2,4,0,22,0,8,2,2,8,0,0
2,6,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,6,0,2
10,6,0,4,6,0,10,2,6,2,0,2,0,0,6,2,26,0,2,0
4,2,4,0,0,2,8,0,4,0,0,0,0,2,0,14,6,2,2,0
6,0,10,6,8,14,30,4,12,0,0,0,0,10,8,0,16,4,12,4
4,4,0,2,2,8,12,8,4,0,8,0,0,2,8,12,8,4,4,2
0,0,2,2,2,8,26,6,0,2,12,0,0,14,4,6,4,2,0,0
2,0,6,4,4,0,4,10,2,0,0,0,0,0,0,0,4,4,0,0
2,2,2,0,2,6,4,6,10,0,0,2,10,2,2,0,6,2,0,0
4,8,0,0,4,6,14,26,4,0,0,2,2,0,2,0,6,0,2,0
0,2,4,14,4,6,38,14,8,0,0,0,16,0,2,42,10,16,0,0
0,2,4,2,2,6,32,4,2,0,0,0,6,0,0,30,2,8,4,2
2,8,4,0,0,6,22,16,6,6,2,0,26,0,4,46,6,12,2,2
0,0,36,22,12,20,52,6,0,16,0,2,30,0,4,28,8,4,0,16
8,12,22,12,4,16,40,10,6,16,4,6,22,12,2,18,40,20,4,4
0,0,6,4,2,2,25,10,8,4,0,0,16,0,2,6,10,0,4,4
0,0,6,2,0,12,34,32,9,10,2,0,16,0,0,24,18,10,8,4
0,0,0,0,0,0,40,0,20,2,0,0,10,0,0,4,12,0,2,2
5,4,8,4,4,2,24,34,10,22,6,6,20,10,8,16,8,16,6,8
6,2,2,8,0,6,8,12,10,16,24,0,4,2,8,4,0,14,4,4
0,0,0,0,2,0,0,2,12,0,0,0,0,0,2,10,0,8,0,0
2,2,4,0,0,6,18,6,0,0,0,0,4,2,0,0,0,0,6,0
0,2,6,0,2,8,10,9,0,0,0,2,6,2,4,18,2,2,0,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8,2,2,4,8,8,0,0,0,0,6,0,0,12,2,0,0,0
0,0,0,0,0,4,4,0,2,2,0,0,6,2,2,4,8,2,2,2
0,0,28,14,0,10,24,6,12,10,2,4,14,2,4,33,12,4,0,6
2,12,0,4,4,26,16,6,16,38,0,4,16,2,14,22,18,10,0,16
2,0,20,12,2,2,4,0,6,10,0,2,8,0,12,24,16,2,0,8
0,0,2,10,6,0,6,2,0,4,0,0,10,2,12,30,24,2,4,2
2,0,21,8,0,2,12,6,4,16,0,4,18,0,16,70,20,12,4,2
2,0,14,4,2,2,8,10,0,2,0,0,20,0,14,26,12,4,0,2
2,0,30,4,0,6,14,0,4,14,0,0,6,0,20,56,12,4,4,2
4,6,70,30,4,26,28,4,4,10,0,0,28,0,50,30,26,8,4,2
18,10,70,30,8,12,31,2,18,44,2,0,12,10,6,20,20,2,0,4
0,4,8,6,4,8,20,6,2,8,2,2,12,42,8,10,12,4,2,8
4,6,24,16,14,6,6,4,8,18,14,2,10,2,4,10,14,6,2,4
0,0,14,2,4,12,2,4,12,60,13,2,2,2,2,34,6,6,0,0
2,2,6,4,6,6,4,2,4,22,0,0,6,2,4,12,4,12,0,0
2,0,4,0,2,14,6,10,14,2,2,0,10,6,8,10,4,8,2,2
2,2,0,0,0,8,4,2,2,14,6,2,4,2,2,0,16,6,2,0
2,0,25,2,2,12,4,4,0,4,0,0,6,4,4,24,16,2,0,2
0,0,8,0,0,12,0,4,10,8,2,2,2,6,2,32,14,8,2,2
2,0,2,0,2,8,2,0,2,0,0,0,8,6,0,14,4,4,2,0
10,0,12,0,2,4,18,12,2,10,2,4,20,18,12,32,6,4,4,6
0,10,22,6,2,8,16,2,8,4,4,4,34,22,4,22,2,20,2,4
16,2,10,10,6,18,16,10,8,4,2,2,20,14,16,18,0,10,10,12
4,6,25,22,10,22,14,4,4,4,4,6,52,32,4,30,4,2,10,16
11,0,10,12,6,20,6,0,6,0,0,0,56,36,4,40,4,4,8,18
0,0,2,6,4,2,12,12,6,4,0,0,33,22,2,24,0,6,2,0
2,0,30,6,0,14,18,2,0,0,0,0,40,26,18,28,6,14,6,32
0,0,4,2,0,2,8,0,0,0,2,0,8,0,2,0,0,0,2,0
0,0,2,0,0,18,22,4,0,2,2,0,12,4,0,27,2,4,0,2
2,0,8,2,2,12,22,12,0,0,10,0,6,4,4,36,12,0,0,2
0,4,8,0,0,24,16,18,2,0,4,6,8,6,8,24,28,8,12,20
22,2,26,12,10,16,30,20,2,16,6,6,16,8,12,34,4,18,14,6
4,0,20,4,7,4,40,12,14,8,6,6,28,14,0,40,14,2,6,4
2,0,2,2,0,2,28,18,0,12,2,0,8,14,6,16,12,4,8,2
0,0,6,0,0,0,2,0,4,0,0,0,8,0,0,10,0,0,2,0
0,0,28,0,0,2,43,20,2,12,0,4,34,2,2,18,14,8,20,18
0,0,4,0,2,4,6,6,2,4,4,0,4,0,0,2,4,10,0,0
10,2,12,4,4,32,18,14,18,16,0,4,8,4,14,8,0,10,12,8
2,0,14,6,4,8,2,8,0,2,0,4,4,4,10,10,6,6,8,2
2,2,10,0,0,22,20,6,2,16,0,0,10,6,6,28,16,15,6,2
2,4,20,12,2,20,4,28,6,18,0,0,12,8,2,26,2,6,14,6
6,0,4,10,2,0,6,4,6,12,0,0,4,2,0,6,0,2,6,4
0,0,12,2,0,12,26,0,0,0,0,0,30,0,0,48,12,2,0,4
0,0,20,4,0,10,48,0,0,0,0,0,6,0,0,36,8,6,0,2
0,2,2,0,0,2,24,8,2,0,4,0,4,4,0,18,0,2,0,6
0,0,0,0,0,0,12,0,0,4,0,0,4,0,0,8,0,2,2,2
0,0,8,4,0,12,16,6,2,6,2,2,2,4,2,0,0,0,6,4
4,0,8,12,18,6,14,2,0,0,2,6,34,2,2,34,0,0,4,6
6,0,10,28,24,10,22,4,12,10,0,0,28,4,0,22,4,2,14,2
27,6,76,38,50,40,0,0,6,34,24,19,38,12,62,122,10,32,64,36
2,4,9,14,30,21,14,41,2,0,8,6,18,2,12,18,10,4,6,10
2,0,10,48,6,91,14,12,2,6,6,4,37,8,6,14,0,4,14,18
6,10,30,72,8,126,14,2,2,0,0,2,36,4,4,8,0,4,6,46
2,0,20,20,12,28,10,2,2,2,0,6,14,4,6,6,2,2,16,24
8,0,20,4,0,6,8,0,2,0,2,0,10,6,2,16,2,2,8,6
0,0,10,2,0,4,6,0,4,0,0,2,14,6,2,8,0,0,2,2
0,2,0,0,4,4,8,2,0,4,2,0,2,8,2,0,0,0,2,15
0,2,6,0,2,6,6,0,10,6,0,0,0,6,4,16,4,6,2,0
0,0,2,20,2,58,26,2,0,0,0,0,8,12,2,2,2,6,4,54
0,0,10,8,6,26,37,0,0,0,0,0,4,0,0,6,0,0,4,34
0,0,8,49,4,34,36,2,0,0,0,0,16,6,8,18,0,2,0,26
4,0,22,14,20,30,18,2,12,8,2,4,40,28,8,86,12,10,18,38
2,2,36,6,2,50,32,8,20,36,2,12,28,8,16,6,6,12,6,18
0,0,0,0,0,8,8,0,0,0,0,0,6,4,0,2,0,2,0,6
2,0,2,2,2,6,34,2,2,2,8,0,14,2,2,12,0,0,2,6
0,0,8,4,2,0,10,2,4,0,4,0,6,0,0,4,0,2,6,6
0,0,0,2,2,2,0,2,0,0,0,4,2,2,2,0,0,2,0,4
0,0,0,2,0,2,4,2,0,0,0,0,0,0,0,6,0,0,0,0
0,2,0,0,4,10,6,0,6,4,2,0,2,0,0,4,0,2,0,2
0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,0,6,8,12,8,22,10,6,4,2,0,24,14,0,38,0,4,12,16
0,0,6,24,4,16,8,2,0,2,0,0,20,26,4,10,2,0,14,26
4,0,10,28,2,18,13,2,2,6,0,2,20,22,2,24,8,4,22,28
8,2,4,12,12,14,6,4,2,6,0,0,24,8,14,12,0,12,14,12
0,2,8,4,4,10,0,2,2,20,0,0,14,10,12,8,4,6,10,8
0,0,0,2,2,16,10,2,0,0,0,0,2,12,2,18,0,2,0,2
0,0,0,2,0,2,2,6,0,0,0,0,2,20,12,16,2,2,0,14
4,0,6,4,10,21,0,2,4,2,0,2,8,4,8,14,2,2,6,12
0,0,0,4,0,4,8,2,0,0,0,0,0,6,4,12,0,0,0,4
