"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
35,25,31,24,26,31,28,18,12,25,13,17,33,13,22,23,48,25,16,12
54,29,34,34,28,47,28,34,8,24,13,22,41,18,41,36,65,33,15,8
81,60,64,103,96,91,83,39,0,106,48,70,130,33,127,123,146,74,49,46
74,56,53,66,63,110,90,36,36,75,31,40,73,8,67,105,104,57,30,31
46,48,35,33,39,59,39,19,25,49,19,31,42,10,53,45,60,24,10,25
30,30,40,41,34,50,31,16,19,37,20,18,27,14,45,45,47,16,15,27
42,43,36,54,22,48,36,13,20,35,14,10,31,14,48,56,40,22,11,22
14,15,36,49,12,25,41,6,8,14,5,3,8,3,28,72,39,10,7,7
18,18,39,50,25,24,25,12,6,9,8,3,16,7,27,57,30,14,10,7
14,21,18,25,21,19,23,12,9,15,9,7,11,6,32,39,20,26,6,9
26,19,18,22,19,23,23,20,17,19,19,12,17,14,35,38,26,20,13,12
20,12,20,21,14,14,19,12,10,12,9,9,13,13,33,39,27,16,11,12
49,52,55,73,43,56,64,33,40,52,33,18,43,15,88,91,57,37,33,20
15,43,59,61,51,67,69,39,33,30,13,14,29,4,114,125,62,20,9,11
31,19,36,71,35,63,57,20,19,22,8,9,31,7,95,76,89,14,8,8
60,40,50,57,53,61,44,45,30,42,23,28,45,16,91,89,105,32,32,31
61,47,49,53,64,49,49,40,29,45,23,35,50,13,89,69,75,38,30,30
60,45,50,49,33,55,28,25,19,50,27,35,52,16,74,41,61,31,27,23
23,19,23,31,26,40,27,25,21,28,30,36,26,24,33,30,38,32,22,26
38,43,30,26,16,51,22,13,17,28,9,21,39,10,37,26,24,10,8,8
25,29,27,22,18,37,31,29,33,37,21,29,33,16,46,36,37,23,17,13
13,20,21,25,13,29,24,7,24,28,7,11,18,8,44,33,26,19,7,6
14,18,19,24,18,17,36,5,12,21,6,7,18,5,53,43,28,17,3,31
19,21,29,25,22,19,36,14,17,16,7,10,16,9,50,62,30,15,11,7
24,20,31,32,16,31,43,17,19,15,13,12,14,12,50,50,26,28,18,16
22,9,34,20,31,24,33,39,17,18,14,7,12,13,69,76,20,35,21,20
37,28,41,43,33,30,58,36,29,33,28,12,21,28,70,84,28,81,37,41
29,16,22,33,25,19,46,17,19,25,18,5,11,14,73,73,19,58,23,24
33,28,24,32,31,23,32,25,9,18,14,3,9,27,51,70,30,58,22,22
32,27,37,32,38,36,40,34,12,15,15,9,9,28,65,79,33,54,32,22
61,51,83,94,108,95,135,0,37,26,21,8,12,26,147,183,71,105,62,41
57,55,60,81,99,97,136,0,22,17,35,14,20,14,178,172,64,94,46,22
39,42,53,44,52,57,59,38,36,28,22,19,37,27,65,70,39,16,27,21
28,45,33,34,47,45,39,28,24,31,17,18,38,18,57,68,32,26,14,8
49,50,45,50,36,52,41,43,37,36,30,36,43,28,69,48,31,34,18,14
34,29,35,39,32,44,38,45,38,34,22,23,34,18,49,33,24,25,9,12
55,65,71,51,55,103,97,0,0,62,27,56,60,44,95,72,23,51,26,22
50,50,32,25,47,50,100,0,0,13,4,12,30,25,91,62,33,24,13,3
36,19,22,24,34,44,88,35,31,22,17,19,23,33,55,80,26,32,31,17
29,27,38,35,39,41,76,21,27,13,9,7,11,38,71,23,29,58,35,23
34,19,20,19,20,19,28,17,23,18,12,8,8,24,48,71,18,44,17,19
14,12,18,13,39,38,105,0,17,9,10,15,11,18,31,26,16,29,17,9
36,23,21,22,22,24,60,0,23,18,17,20,22,24,41,37,18,26,15,16
60,24,26,16,19,30,60,0,32,18,12,19,23,40,52,51,33,31,20,18
41,26,29,27,24,31,49,38,27,18,15,27,31,29,35,33,20,33,20,17
15,8,19,24,4,18,22,5,15,4,2,2,14,3,14,36,27,4,1,1
6,5,26,16,2,16,24,6,2,3,2,3,20,2,7,41,28,10,1,10
5,13,29,16,8,16,32,5,9,9,12,11,22,5,16,47,50,15,4,9
5,8,32,16,10,24,32,7,7,5,7,9,43,10,19,39,40,11,5,16
16,17,34,35,19,32,47,16,22,26,19,17,52,19,28,42,57,26,21,23
6,4,31,32,10,37,52,9,9,7,9,6,38,10,7,48,44,10,11,8
12,10,27,18,8,19,42,16,6,20,8,7,26,8,12,52,48,31,18,25
19,14,18,16,12,17,16,13,8,11,13,16,23,9,11,26,34,19,11,8
19,24,72,29,35,35,40,44,27,36,17,25,34,24,24,40,101,36,40,29
8,8,19,9,15,17,18,40,13,15,13,14,20,12,15,16,36,26,19,14
12,6,10,8,19,27,20,33,7,9,12,14,13,7,19,20,40,17,13,8
21,15,20,11,16,22,27,22,8,8,9,12,16,15,16,16,41,21,13,9
17,13,21,14,17,27,24,19,13,17,13,20,26,14,18,26,54,18,25,25
7,4,12,9,11,12,9,11,8,7,5,9,9,8,13,13,13,10,15,12
