"station","utmx","utmy","forest"
1,452670,4654082.5,0.8883379905
3,458281,4654785,0.7525502835
7,451792,4658952,0.916347246
8,456037.5,4659242.5,0.832531868
10,463527.5,4659511.5,0.661335948
12,227424.5,4664690,0.815818043
13,231292,4662870,0.8530219755
14,234524,4664424.5,0.880808863
15,459202,4663060.5,0.7811791405
16,463433.5,4664537,0.7482134765
17,222378,4668184,0.7599516055
18,227202,4666403.5,0.872010009
19,308732,4667371.5,0.718759345
20,303632,4667218.5,0.523445431
22,115599,4671082,0.4426399125
23,118828,4671274,0.3831140795
24,124428,4670598,0.641020727
26,227672,4671790.5,0.8064955015
27,247013,4672345.5,0.638360532
28,249287.5,4671213,0.7078745845
29,308937,4671565.5,0.5949740515
30,305050,4671455.5,0.691029868
32,469295,4669670,0.8547222665
33,473381.5,4671302.5,0.849067624
34,473992.5,4670873,0.826094015
35,111877,4673249,0.4403696855
36,115351,4673371,0.396467898
37,119309,4675804,0.377701256
38,123428,4675681,0.4553899855
39,140085,4675037,0.332885963
40,143408,4674529,0.4811261765
43,246306,4675398,0.5709133775
50,328169,4674917.5,0.773927399
53,285419,4701920,0.4888851095
54,467427.5,4673322,0.7245441075
56,477169.5,4676211.5,0.7064693385
57,478739,4675441.5,0.672410985
58,481872.5,4674154,0.6339566185
59,138680,4678680,0.507143292
60,142938,4679417,0.6950823945
61,145958,4679197,0.620831583
62,251602,4679059,0.482026924
63,255590.5,4678108.5,0.7913934365
64,258774,4677109.5,0.727954264
66,303554.5,4677804.5,0.6314141805
68,328260,4679713,0.79357821
71,341422.5,4677592.5,0.7791439005
72,342939.5,4678652,0.751143705
73,346565.5,4678260.5,0.705752362
76,382140,4678874,0.699262198
80,448248.5,4678202.5,0.708754582
81,452004.5,4679926.5,0.6882553975
82,469012,4679885,0.706639638
83,470405,4680121,0.7659464605
85,488112.5,4678410,0.681217048
88,169606,4681026,0.3141588965
89,173629,4682926,0.4091355165
90,226225.5,4682752.5,0.66588257
91,230112,4683973,0.540326863
97,325474,4683036.5,0.8160256465
98,328522.5,4682044.5,0.810568654
102,343133.5,4683220,0.6332105215
104,381570,4682038,0.773182991
107,410529.5,4681914.5,0.6536537645
108,435704.5,4683083,0.5582173895
109,440436.5,4682565,0.6867043945
110,443537,4681786,0.758362075
111,448442,4682998.5,0.657241448
112,451223.5,4682363.5,0.669337827
114,466594,4680929,0.645477062
115,471395.5,4682752.5,0.660574321
116,484304.5,4681272,0.729384228
117,486358.5,4682049,0.733111469
118,492070,4683273.5,0.699916136
119,495447.5,4682450.5,0.582349262
121,122477,4686713,0.6700684145
122,126054,4686417,0.5569165715
124,135624,4686013,0.538035748
125,173595,4686806,0.5770449125
126,226403,4685326,0.697546818
127,232194,4688217.5,0.7800889515
132,301698.5,4686378.5,0.5805477005
133,305214.5,4685820.5,0.4127653325
135,325590.5,4685854,0.714952544
138,335533.5,4686885.5,0.8851495945
139,361848.5,4684739.5,0.7428847665
140,366778,4687191,0.5642197945
141,371327,4687141.5,0.4785437435
143,382025,4686019,0.6910257415
144,386235,4686127,0.723064724
148,409513.5,4687673.5,0.5551626905
151,449715,4687282,0.640819884
153,485390.5,4686741.5,0.531099806
154,491346.5,4686288,0.665333637
155,493468.5,4687539,0.613871164
156,499434,4686434,0.6322148245
159,123046,4691043,0.6932137825
160,127502,4691441,0.6264261165
161,130225,4690206,0.401496548
162,135465,4691261,0.71604961
163,138543,4690089,0.727887428
164,154871,4689763,0.684520998
166,170843,4690380,0.5876780955
167,171759,4689350,0.6175203565
168,188255,4690640,0.751243506
174,250978.5,4689156,0.6188658805
180,293285,4686567,0.535611898
181,297788.5,4691517,0.4522772575
182,288994.5,4702572,0.5546228605
188,359164.5,4693154.5,0.62339047
189,364263.5,4691292.5,0.714488554
190,366966.5,4690568.5,0.4780945985
194,408582.5,4690645.5,0.5639274195
195,297182,4709166,0.38590912
197,425736,4690961,0.6207867275
200,493605,4689233,0.600531886
201,498722.5,4691305,0.609279296
203,510370,4690908,0.6412938555
206,150641,4693350,0.551576455
207,154265,4695656,0.6895228855
209,162081,4693977,0.4345242385
210,166431,4693685,0.2202324855
212,174827,4694676,0.595826259
213,185036,4692344,0.638313253
214,189838,4694662,0.5834532595
216,225286,4695666.5,0.7902634735
217,226189.5,4693926.5,0.7580174175
218,232570.5,4692619.5,0.797013164
219,236120.5,4694028,0.8177915705
220,238606.5,4694648.5,0.758427348
222,251818,4695939.5,0.720583991
223,255489,4694994,0.810850202
